Symbol	Entry DateTime	Trade Type	Duration	Profit/Loss (C)	Cumulative Profit/Loss (C)	Max Open Profit (C)	Max Open Loss (C)	Exit DateTime	Commission (C)	Max Open Quantity	Trade Quantity	Entry Price	Exit Price	Max Closed Quantity	FlatToFlat Profit/Loss (C)	FlatToFlat Max Open Profit (C)	FlatToFlat Max Open Loss (C)	Entry Efficiency	Exit Efficiency	Total Efficiency	High Price While Open	Low Price While Open	Note	Open Position Quantity	Close Position Quantity	Account
M2KM25_FUT_CME (163351)	2025-04-15  10:00:36.624 BP	Long	00:01:47	0.50	0.50	8.50	-8.00	2025-04-15  10:02:24.381 EP	0.00	1	1	1908.8	1908.9	1	0.50 F	8.50	-8.00	100.0%	51.5%	3.0%	1910.5	1907.2		1	0	163351
M2KM25_FUT_CME	2025-04-15  10:03:10.889 BP	Long	00:02:24	-12.50	-12.00	6.00	-12.50	2025-04-15  10:05:35.754 EP	0.00	1	1	1910.9	1908.4	1	-12.50 F	6.00	-12.50	100.0%	0.0%	-67.6%	1912.1	1908.4		1	0	163351
M2KM25_FUT_CME	2025-04-15  10:15:01.687 BP	Long	00:01:53	13.00	1.00	19.50	-2.50	2025-04-15  10:16:54.748 EP	0.00	1	1	1908.7	1911.3	1	13.00 F	19.50	-2.50	100.0%	70.5%	59.1%	1912.6	1908.2		1	0	163351
M2KM25_FUT_CME	2025-04-16  10:17:10.248 BP	Short	00:08:43	-29.50	-28.50	2.00	-29.50	2025-04-16  10:25:53.668 EP	0.00	1	1	1875.2	1881.1	1	-29.50 F	2.00	-29.50	100.0%	0.0%	-93.7%	1881.1	1874.8		1	0	163351
M2KM25_FUT_CME	2025-04-16  10:47:02.421 BP	Long	00:17:53	-20.50	-49.00	2.50	-35.00	2025-04-16  11:04:56.048 EP	0.00	1	1	1883.4	1879.3	1	-20.50 F	2.50	-35.00	100.0%	38.7%	-54.7%	1883.9	1876.4		1	0	163351
																										
MESM25_FUT_CME (163351)	2025-04-22  10:00:28.821 BP	Long	00:10:57	58.96	58.96	72.50	-12.50	2025-04-22  10:11:26.239 EP	1.04	1	1	5265.25	5277.25	1	58.96 F	72.50	-12.50	100.0%	84.1%	69.4%	5279.75	5262.75		1	0	163351
MESM25_FUT_CME	2025-04-23  10:50:02.963 BP	Short	00:01:01	26.46	85.42	40.00	-3.75	2025-04-23  10:51:04.442 EP	1.04	1	1	5482.00	5476.50	1	26.46 F	40.00	-3.75	100.0%	69.1%	60.5%	5482.75	5474.00		1	0	163351
MESM25_FUT_CME	2025-04-25  10:31:08.588 BP	Short	00:02:10	-54.79	30.63	12.50	-53.75	2025-04-25  10:33:19.277 EP	1.04	1	1	5482.50	5493.25	1	-54.79 F	12.50	-53.75	100.0%	-1.6%	-82.7%	5493.25	5480.00		1	0	163351
MESM25_FUT_CME	2025-04-28  10:10:15.571 BP	Long	00:16:04	1.46	32.09	46.25	-35.00	2025-04-28  10:26:20.102 EP	1.04	1	1	5555.00	5555.50	1	1.46 F	46.25	-35.00	100.0%	44.9%	1.8%	5564.25	5548.00	Attached order. Parent: 4	1	0	163351
